"id","longitude","latitude","elevation","title","place_description","sig","mag","mag_type","time","updated","effect","row_number","country_code","sig_class"
"us6000p6h7","-7.7534","-57.438","10.0","M 5.0 - east of the South Sandwich Islands","east of the South Sandwich Islands","385","5.0","mb","2024-11-20 04:03:44.685000","2024-11-20 04:37:25.040000","Minor damage","27","SH","Moderate"
"us7000nsbu","-14.9899","-12.7931","10.0","M 5.0 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","385","5.0","mb","2024-11-17 23:05:55.254000","2024-11-17 23:23:46.040000","Minor damage","157","SH","Moderate"
"us7000nsbw","-14.7059","-12.826","10.0","M 5.1 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","400","5.1","mb","2024-11-17 23:16:14.125000","2024-11-17 23:34:46.040000","Minor damage","158","SH","Moderate"
"usd00125in","71.7909","39.2956","10.0","M 5.4 - 23 km ENE of Karakenja, Tajikistan","23 km ENE of Karakenja, Tajikistan","449","5.4","mb","2024-11-23 08:33:03.407000","2024-11-23 10:54:50.742000","Minor damage","64","TJ","Moderate"
"us6000p78e","145.6761","-2.8464","10.0","M 5.1 - 198 km WSW of Lorengau, Papua New Guinea","198 km WSW of Lorengau, Papua New Guinea","400","5.1","mb","2024-11-23 10:25:35.435000","2024-11-23 10:42:59.040000","Minor damage","72","PG","Moderate"
"us6000p78j","145.7107","-2.8095","10.0","M 5.2 - 193 km WSW of Lorengau, Papua New Guinea","193 km WSW of Lorengau, Papua New Guinea","416","5.2","mb","2024-11-23 10:47:50.871000","2024-11-23 11:04:04.040000","Minor damage","75","PG","Moderate"
"us6000p7c2","158.3179","-55.4557","10.0","M 5.1 - Macquarie Island region","Macquarie Island region","400","5.1","mb","2024-11-23 23:55:55.293000","2024-11-24 00:12:00.040000","Minor damage","201","NZ","Moderate"
"us7000ns3m","-13.2696","-15.2823","10.0","M 5.2 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","416","5.2","mb","2024-11-16 02:17:09.474000","2024-11-16 03:06:18.040000","Minor damage","7","SH","Moderate"
"us7000nsc0","-14.4618","-12.7645","10.0","M 5.0 - southern Mid-Atlantic Ridge","southern Mid-Atlantic Ridge","385","5.0","mb","2024-11-18 00:00:44.709000","2024-11-18 15:26:17.714000","Minor damage","1","SH","Moderate"
"us7000nsce","147.0544","15.039","10.0","M 5.1 - 141 km E of Saipan, Northern Mariana Islands","141 km E of Saipan, Northern Mariana Islands","400","5.1","mb","2024-11-18 02:18:50.212000","2024-11-19 02:28:51.882000","Minor damage","19","MP","Moderate"
