"id","longitude","latitude","elevation","title","place_description","sig","mag","mag_type","time","updated","effect","row_number"
"hv74945527","-155.272338867188","19.4015007019043","7.6399998664856","M 1.9 - 6 km SW of Volcano, Hawaii","6 km SW of Volcano, Hawaii","58","1.94","ml","2026-04-26 23:50:12.830000","2026-04-26 23:53:45.520000","Unfelt","200"
"aka2026iexfdz","-156.512","56.31","8.0","M 2.8 - 117 km E of Chignik, Alaska","117 km E of Chignik, Alaska","121","2.8","ml","2026-04-26 23:28:43.656000","2026-04-27 03:04:30.040000","Maybe damage","199"
"tx2026iexbvc","-103.541","32.154","0.0","M 1.7 - 33 km W of Jal, New Mexico","33 km W of Jal, New Mexico","44","1.7","ml","2026-04-26 23:24:46.604000","2026-04-27 00:00:08.602000","Unfelt","198"
"nc75352202","-122.798164367676","38.8371658325195","1.75999999046326","M 1.3 - 7 km WNW of Cobb, CA","7 km WNW of Cobb, CA","28","1.34","md","2026-04-26 23:16:02.560000","2026-04-26 23:17:36.460000","Unfelt","197"
"nc75352197","-122.796997070312","38.8376655578613","1.98000001907349","M 0.7 - 7 km WNW of Cobb, CA","7 km WNW of Cobb, CA","8","0.72","md","2026-04-26 23:13:56.660000","2026-04-26 23:15:31.159000","Unfelt","196"
"us6000st2b","-139.4975","60.4428","5.0","M 3.1 - 100 km N of Yakutat, Alaska","100 km N of Yakutat, Alaska","148","3.1","ml","2026-04-26 23:09:22.187000","2026-04-27 02:58:53.040000","Maybe damage","195"
"aka2026ievyub","-147.472","64.958","5.0","M 0.8 - 6 km E of Fox, Alaska","6 km E of Fox, Alaska","10","0.8","ml","2026-04-26 22:51:09.924000","2026-04-26 22:52:21.087000","Unfelt","194"
"nc75352187","-122.931999206543","38.7123336791992","3.44000005722046","M 1.1 - 13 km NNW of Healdsburg, CA","13 km NNW of Healdsburg, CA","20","1.14","md","2026-04-26 22:42:44.340000","2026-04-26 22:44:21.906000","Unfelt","193"
"nc75352177","-122.74683380127","38.7864990234375","2.84999990463257","M 0.8 - 1 km NE of The Geysers, CA","1 km NE of The Geysers, CA","9","0.76","md","2026-04-26 22:29:36.770000","2026-04-26 22:31:11.882000","Unfelt","192"
"nc75352167","-122.823165893555","38.8286666870117","1.86000001430511","M 0.8 - 8 km NW of The Geysers, CA","8 km NW of The Geysers, CA","11","0.83","md","2026-04-26 22:20:53.170000","2026-04-26 22:22:31.789000","Unfelt","191"
